word,model,accuracy,f1_macro,ari,silhouette
ಕೈಲಾಸ,XLM-R,0.7985507246376812,0.7116508442824232,0.47656544405395207,0.21392549574375153
ಕೈಲಾಸ,XL Lexeme,0.8318840579710145,0.8096857786176672,0.5632379081247925,0.30111628770828247
ಕೈಲಾಸ,IndicBERT,0.5626811594202898,0.41722818244557375,0.013560035367916194,0.021784236654639244
ಗಜ,MuRIL,0.85,0.8475948544059999,0.415564451561249,0.3690113425254822
ಗಜ,XLM-R,0.7375,0.7345463016515648,-0.008704278536913182,0.09278072416782379
ಗಜ,XL Lexeme,0.4875,0.48264507422402153,0.026690179443795724,0.0959944874048233
ಗಜ,IndicBERT,0.6125,0.6046879075516846,0.0033961024918101068,0.04303279519081116
ಗುಂಡಿ,MuRIL,0.8239766081871345,0.6511002178649237,0.3718869075904101,0.17819549143314362
ಗುಂಡಿ,XLM-R,0.5058479532163742,0.3571957671957672,0.05802462000809108,-0.06869940459728241
ಗುಂಡಿ,XL Lexeme,0.7584795321637426,0.6469550510262584,0.28639897656735647,0.09356356412172318
ಗುಂಡಿ,IndicBERT,0.4953216374269006,0.3767890062007709,0.023581495398841454,-0.029091885313391685
ಗುಂಡು,MuRIL,0.8065934065934066,0.7088612836438923,0.004359285547914139,0.21478961408138275
ಗುಂಡು,XLM-R,0.6868131868131868,0.4070487483530962,-0.014404322032650779,0.1333194375038147
ಗುಂಡು,XL Lexeme,0.8648351648351648,0.834201189247629,0.050691142482813444,0.2346530556678772
ಗುಂಡು,IndicBERT,0.7604395604395604,0.6802982092913442,-0.01144219717633335,0.038837164640426636
ಗುಡುಗು,MuRIL,0.925,0.9249019607843139,0.7189513156629596,0.6325488090515137
ಗುಡುಗು,XLM-R,0.8125,0.8058636788048552,0.293580333963655,0.24705329537391663
ಗುಡುಗು,XL Lexeme,0.925,0.9235845836310232,0.718978336110755,0.66199791431427
ಗುಡುಗು,IndicBERT,0.475,0.4518750530515236,-0.01200960768614892,0.020789694041013718
ಗುರು,MuRIL,0.8558333333333333,0.8521116138763197,0.5419750663526597,0.41368287801742554
ಗುರು,XLM-R,0.4416666666666667,0.41097467376105146,-0.013091617962869858,0.013813799247145653
ಗುರು,XL Lexeme,0.805,0.7929695450748083,0.2757452751383523,0.33175745606422424
ಗುರು,IndicBERT,0.45666666666666667,0.40292716571354337,-0.013091617962869858,0.010816782712936401
